Metric,limit,sim_thresh,method,Value
Combined,3,0.33,DOT,0.571
F1@5,3,0.5,COSINE,0.4379
MRR,10,0.33,DOT,0.7709
P@5,3,0.5,COSINE,0.3092
R@5,5,0.33,DOT,0.8398
