Metric,limit,sim_thresh,method,Value
Combined,3,0.5,COSINE,0.5867
F1@5,3,0.5,COSINE,0.4655
MRR,10,0.33,DOT,0.7845
P@5,3,0.5,COSINE,0.3343
R@5,5,0.33,L1,0.8565
